RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Russell WestbrookOKC,PG,81,34.6,31.6,10.2,24,42.5,2.5,7.2,34.3,8.8,10.4,84.5,10.7,10.4,1.6,0.4,5.4,62,42,30.7
2,James HardenHOU,SG,81,36.4,29.1,8.3,18.9,44,3.2,9.3,34.7,9.2,10.9,84.7,8.1,11.2,1.5,0.5,5.7,64,22,27.43
3,Isaiah ThomasBOS,G,76,33.8,28.9,9,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,2.7,5.9,0.9,0.2,2.8,5,0,26.59
4,Anthony DavisNO,PF,75,36.1,28,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,11.8,2.1,1.3,2.2,2.4,49,0,27.59
5,DeMar DeRozanTOR,SF,74,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,5.2,3.9,1.1,0.2,2.4,5,0,24.09
6,Damian LillardPOR,PG,75,35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,4.9,5.9,0.9,0.3,2.6,11,0,24.15
7,DeMarcus CousinsSAC/NO,C,72,34.2,27,9,19.9,45.2,1.8,5,36.1,7.2,9.3,77.2,11,4.6,1.4,1.3,3.7,46,2,25.84
8,LeBron JamesCLE,SF,74,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,8.6,8.7,1.2,0.6,4.1,42,13,27.11
9,Kawhi LeonardSA,SF,74,33.4,25.5,8.6,17.7,48.5,2,5.2,38,6.3,7.2,88,5.8,3.5,1.8,0.7,2.1,9,0,27.62
10,Stephen CurryGS,PG,79,33.4,25.3,8.5,18.3,46.8,4.1,10,41.1,4.1,4.6,89.8,4.5,6.6,1.8,0.2,3,9,0,24.74
11,Kyrie IrvingCLE,PG,72,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,3.2,5.8,1.2,0.3,2.5,8,0,23.09
12,Karl-Anthony TownsMIN,C,82,37,25.1,9.8,18,54.2,1.2,3.4,36.7,4.3,5.2,83.2,12.3,2.7,0.7,1.3,2.6,62,1,26
13,Kevin DurantGS,PF,62,33.4,25.1,8.9,16.5,53.7,1.9,5,37.5,5.4,6.2,87.5,8.3,4.8,1.1,1.6,2.2,23,1,27.68
14,Jimmy ButlerCHI,SF,76,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,6.2,5.5,1.9,0.4,2.1,15,2,25.19
15,Paul GeorgeIND,SG,75,35.9,23.7,8.3,18,46.1,2.6,6.6,39.3,4.5,5,89.8,6.6,3.3,1.6,0.4,2.9,11,0,20.3
16,Andrew WigginsMIN,SF,82,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5,6.6,76,4,2.3,1,0.4,2.3,1,0,16.62
17,Kemba WalkerCHA,PG,79,34.7,23.2,8.1,18.3,44.4,3,7.6,39.9,3.8,4.5,84.7,3.9,5.5,1.1,0.3,2.1,8,0,21.41
18,John WallWSH,PG,78,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,4.2,10.7,2,0.6,4.1,50,0,23.28
19,Bradley BealWSH,SG,77,34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,3.1,3.5,1.1,0.3,2,1,0,20.21
20,CJ McCollumPOR,SG,80,35,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,3.6,3.6,0.9,0.5,2.2,1,0,19.99
